"filename", "language", "Python", "pip requirements", "HTML", "JavaScript", "YAML", "PostCSS", "comment", "blank", "total"
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/api.py", "Python", 48, 0, 0, 0, 0, 0, 17, 14, 79
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/apps.py", "Python", 6, 0, 0, 0, 0, 0, 3, 4, 13
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/job_matcher.py", "Python", 177, 0, 0, 0, 0, 0, 102, 47, 326
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/job_matcher_backup.py", "Python", 170, 0, 0, 0, 0, 0, 95, 44, 309
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/job_matcher_updated.py", "Python", 169, 0, 0, 0, 0, 0, 100, 44, 313
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/migrations/0001_initial.py", "Python", 97, 0, 0, 0, 0, 0, 1, 7, 105
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/migrations/0002_alter_jobmatch_options_and_more.py", "Python", 115, 0, 0, 0, 0, 0, 1, 6, 122
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/migrations/0003_alter_job_requirements_alter_job_responsibilities.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/migrations/0004_alter_job_hh_url_alter_job_published_at.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/models.py", "Python", 141, 0, 0, 0, 0, 0, 23, 40, 204
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/services.py", "Python", 169, 0, 0, 0, 0, 0, 32, 40, 241
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/tasks.py", "Python", 143, 0, 0, 0, 0, 0, 22, 30, 195
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/templatetags/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/templatetags/job_filters.py", "Python", 63, 0, 0, 0, 0, 0, 32, 21, 116
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/urls.py", "Python", 11, 0, 0, 0, 0, 0, 1, 3, 15
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/jobs/views.py", "Python", 337, 0, 0, 0, 0, 0, 68, 75, 480
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/admin.py", "Python", 2, 0, 0, 0, 0, 0, 3, 1, 6
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/migrations/0001_initial.py", "Python", 32, 0, 0, 0, 0, 0, 1, 7, 40
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/models.py", "Python", 32, 0, 0, 0, 0, 0, 3, 10, 45
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/tasks.py", "Python", 127, 0, 0, 0, 0, 0, 19, 33, 179
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/notifications/views.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/requirements.txt", "pip requirements", 0, 47, 0, 0, 0, 0, 12, 12, 71
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/admin.py", "Python", 29, 0, 0, 0, 0, 0, 1, 3, 33
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/advanced_analyzer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/api.py", "Python", 197, 0, 0, 0, 0, 0, 40, 33, 270
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/apps.py", "Python", 6, 0, 0, 0, 0, 0, 1, 4, 11
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/enhanced_analyzer.py", "Python", 244, 0, 0, 0, 0, 0, 198, 50, 492
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/enhanced_job_matcher.py", "Python", 386, 0, 0, 0, 0, 0, 89, 95, 570
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/forms.py", "Python", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/migrations/0001_initial.py", "Python", 41, 0, 0, 0, 0, 0, 1, 7, 49
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/migrations/0002_resume_error_message_resume_error_type_and_more.py", "Python", 37, 0, 0, 0, 0, 0, 1, 6, 44
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/models.py", "Python", 61, 0, 0, 0, 0, 0, 6, 14, 81
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/tasks.py", "Python", 55, 0, 0, 0, 0, 0, 8, 16, 79
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/universal_skills.py", "Python", 288, 0, 0, 0, 0, 0, 49, 31, 368
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/utils.py", "Python", 734, 0, 0, 0, 0, 0, 127, 59, 920
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/resumes/views.py", "Python", 142, 0, 0, 0, 0, 0, 35, 32, 209
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/css/modern-theme-fixed.css", "PostCSS", 0, 0, 0, 0, 0, 1659, 54, 292, 2005
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/css/modern-theme.css", "PostCSS", 0, 0, 0, 0, 0, 2627, 103, 490, 3220
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/css/style.css", "PostCSS", 0, 0, 0, 0, 0, 697, 69, 151, 917
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/job-description-formatter.js", "JavaScript", 0, 0, 0, 45, 0, 0, 15, 13, 73
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/jwt_auth.js", "JavaScript", 0, 0, 0, 312, 0, 0, 115, 72, 499
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/jwt_auth_clean.js", "JavaScript", 0, 0, 0, 288, 0, 0, 45, 60, 393
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/jwt_auth_simple.js", "JavaScript", 0, 0, 0, 140, 0, 0, 53, 35, 228
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/main.js", "JavaScript", 0, 0, 0, 286, 0, 0, 69, 68, 423
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/js/modern-layout.js", "JavaScript", 0, 0, 0, 399, 0, 0, 51, 72, 522
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/static/test_login.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 3, 39
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/accounts/edit_profile.html", "HTML", 0, 0, 81, 0, 0, 0, 1, 10, 92
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/accounts/jwt_profile.html", "HTML", 0, 0, 176, 0, 0, 0, 5, 29, 210
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/accounts/profile.html", "HTML", 0, 0, 397, 0, 0, 0, 11, 54, 462
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/base.html", "HTML", 0, 0, 255, 0, 0, 0, 21, 18, 294
